Cgla4	Cniv4	Ndel4	Cbra4	Nbac4	Lklu4	Spar4	Scer4
YER150W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YER158C	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YER186C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YFL004W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YFL011W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YFL014W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YFL030W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YFL033C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YFR015C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YFR017C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YFR021W	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YFR026C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YFR034C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
YFR053C	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YGL156W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YGL205W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YGL224C	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YGR032W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YGR043C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YGR052W	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
YGR079W	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
YGR087C	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
YGR088W	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
YGR138C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YGR142W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YGR144W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YGR146C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YGR233C	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
YGR248W	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
YGR256W	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YHL012W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YHR033W	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YHR046C	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
YHR048W	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
YHR071W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YHR096C	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YHR136C	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
YHR137W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YHR139C	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YHR179W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YHR210C	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YHR211W	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
YHR215W	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YIL011W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YIL015W	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
YIL045W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YIL046W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YIL099W	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YIL101C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YIL120W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YIL155C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YIL160C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YIL169C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YIR027C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YIR034C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YJL012C	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YJL043W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YJL045W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YJL048C	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YJL079C	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YJL083W	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YJL116C	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YJL117W	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YJL153C	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
YJR008W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YJR059W	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
YJR096W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YJR119C	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YJR147W	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
YKL065W-A	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
YKL093W	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
