Cgla4	Cniv4	Ndel4	Cbra4	Nbac4	Lklu4	Spar4	Scer4
IRT1	1.50679380337068	1.97240011911324	1.34840926996107	2.460355880316	1.02362322035507	0.926870195479512	1.24126747101563	1.30055550515708
YAL002W	2.17707374025625	1.58570575780046	1.34875082408863	0.722257077435996	0.542294599167946	0.612426325616551	0.149487693283039	0.48313626894262
YAL054C	2.39882819029418	1.3663656602435	0.884226551753233	1.39949438482035	0.730301732812166	-0.0248600703452264	0.0856667521339265	0.102389801133595
YAL061W	2.85730442761194	1.68140111593642	0.607429703961744	0.388321781841571	-0.0378251075852027	-0.275704766258324	0.027140137440715	0.226215016140158
YAL062W	2.76881228513289	1.66168514546224	0.759586542515309	0.666726401415431	0.560821005567278	0.345300670036461	0.795639312187422	0.658828808953958
YAR031W	2.73064917833718	2.9791363699359	2.42211783635764	2.65814775497447	2.36830846793385	1.06211177520363	1.1802846594361	0.919879712483646
YAR071W	7.11756724129826	8.82444194317646	7.90770533287815	8.24107987854346	5.87759212997888	6.38213335928666	7.36120795308241	7.74458537713769
YBL043W	2.35429800357608	1.4919154536899	0.689291248374774	1.56779692259423	0.36202242248511	0.00794536801955958	-0.120944840745494	-0.408851673941073
YBL049W	3.52922997390187	2.50475241212598	1.16719118105449	2.17849779030198	-0.0800724535980109	0.209814748447416	0.270690467184761	0.563048297517165
YBL069W	2.080644201941	2.4039234418551	1.94990696838503	1.80265178641731	0.718274534703969	0.993481252336986	0.352278043779105	0.542899674228754
YBR045C	2.11688606752777	1.50692910088913	1.19610322897268	0.752137146384997	0.150455469167214	0.501920945017958	0.675820088158361	0.511060764129267
YBR050C	3.67962974393796	3.69903976386218	2.54370936884924	2.29610675822715	1.66470871382876	1.6533072214436	3.00823015369742	3.53627248337276
YBR067C	2.66010279638926	2.27272244369331	1.65676077552329	1.8268365818854	1.3252954589004	0.300443719229487	0.147815557484356	0.694624433160469
YBR072W	6.43910507696509	4.84325239989427	2.60141786800904	2.56570528906469	1.47872438503789	0.775942996000301	1.45440762283745	1.974864330552
YBR093C	8.97045692353239	10.0275506023446	9.62400352190686	9.68951152011603	7.85135821520296	8.41988255829137	8.73478957473379	9.0370625686584
YBR094W	0.681786318236896	1.43951139875419	1.07964249884624	1.3967709167174	0.365572126963893	0.803884077820657	1.00251911115393	1.22261213831953
YBR117C	5.66030862501466	2.83749793490087	0.591532034824611	0.515724377458042	0.0869234884249614	0.382721976942737	0.0318027015163227	0.570898142562855
YBR145W	1.350229891677	1.45967906438699	1.84273319874037	1.58366425729835	1.11075289197471	-0.128661284816417	-0.177607025704908	0.0834018156764875
YBR147W	2.11426349482946	1.02080168538785	0.802641987311208	0.163137080890786	0.299447269281124	-0.586581616084011	-1.01661223625946	-0.584858345777941
YBR169C	1.4886862699313	0.700025648428781	0.490387385286378	0.282254495529746	0.227189199041272	0.138137526920281	0.137266235143834	0.178719637298402
YBR240C	1.82749675261362	1.17038502728315	0.509490240735851	0.979345289218624	0.341243017553528	-0.121295380132279	-0.095889343787241	-0.231075757249651
YBR287W	2.49528186518295	2.04734200326491	1.67235035418238	1.30448080071424	1.29635031575187	0.666527502411333	0.571810171183958	0.754732597702286
YBR296C	6.19808278525321	8.9692302268847	7.93974839445903	9.09724543420133	8.25853037919051	8.99906747383794	10.0756747785491	10.2574991341059
YCL027W	2.88337327638284	3.33798923366285	2.61704254099275	2.29040886293693	2.55989336576549	0.460547447515112	0.262329858034185	0.214643685148165
YCL048W	3.3347327795532	1.95722549683124	1.35811033707683	1.24923178985633	1.52215329447161	1.16234633482462	1.2664518101804	0.705839129002981
YCL048W-A	4.63214806279851	2.61788254960298	0.218756487148371	0.685251873164682	-0.599419494970314	-0.660766333107964	-0.490263284417368	-1.03079099324979
YCR021C	5.49135736584187	4.1486890999253	1.67073591489304	0.482443899080707	0.96140166582605	1.48401555650411	2.5413668772325	2.23642848947217
YCR045C	6.38835585589863	5.84104068232637	4.92180460854876	4.91879021951688	3.2681495862641	-0.420901117995178	0.712761346648001	0.541197627723631
YCR051W	2.90679148879592	2.7243193751278	1.13667131193487	0.958424750204856	0.490052512180855	0.118363757046168	-0.01582764902974	0.00918694524024044
YCR098C	6.88528023540193	6.76867892164926	6.14234526406477	5.78012530605953	5.65806990581016	4.59578773181438	5.23349086130634	5.50964930344822
YCR105W	3.60840722035421	2.37180780440116	1.37798068203792	0.846596171639859	0.55781994107798	0.145939948313224	0.465365610685265	0.520873488227375
YDL021W	1.91344624205715	2.49986476038544	2.23316766990417	2.35549341310485	1.04183602109649	0.42954531301198	0.328854022917103	0.704384144000986
YDL022C-A	4.48609907821042	2.90108882894701	1.89715301590596	2.44362758104449	0.320554422124132	0.73219005266075	1.11610122020342	1.95586500620908
YDL024C	3.19052722108502	2.03869767611675	1.20266413507278	1.51032392237079	0.701311276294085	0.323067534405974	0.825281712187964	0.524530730396679
YDL048C	1.67577864334725	1.07302637447281	0.786535770194805	0.0199101475408057	0.692290202957168	0.583794712239844	0.271236091943246	0.223284993017346
YDL079C	1.96651301108391	1.26306593841856	0.62041903073737	0.0374322999576595	0.768696374724081	0.094252767561974	-0.0559846899966105	-0.209180431781843
YDL085W	3.12263475036526	1.72141329814509	0.635176833915768	0.696564287950351	0.272347258343829	-0.0289521508375161	-0.0836868692454069	0.121783547490239
YDL204W	1.98636408228866	0.813018901420735	0.0821229645481063	-0.576025373287968	-0.00784481200935705	-0.365762465621663	-0.540875280994247	-0.50533833811201
YDL222C	3.37827834003291	1.78324174070047	0.0354728541755485	0.0753940480704296	-0.303256873122286	-0.486343099300686	-0.289055494136556	-0.135075126895461
YDL223C	3.25472598729984	1.74339348708196	0.563239760775115	0.875710624095293	0.278769065732649	0.120805110797651	0.193427612305726	0.423595892209518
