Cgla4	Cniv4	Ndel4	Cbra4	Nbac4	Lklu4	Spar4	Scer4
IRT1	0.373871548452448	0.429456796420958	0.51660725668947	1.98416333934231	0.236173096021762	-2.85887726307323	-0.135820147806764	-0.459381403391789
YAL002W	1.53187095791168	0.89656483082033	0.650645345739729	0.192686056666177	0.273174606988399	-0.451134566909563	-0.593924769278315	-0.458155612471902
YAL054C	1.19444484057922	1.16495979509274	0.457901043764741	0.342476846936049	0.157652460553315	-0.598711576197807	-0.451314309580015	-0.678223865809702
YAL061W	1.55287545048367	1.20952239410306	0.792182594580427	-0.620299282354168	0.718427715260531	-0.0593185621527956	0.623307424408527	-0.757888262519486
YAL062W	1.42050695984338	0.719808622965801	-0.28527675274077	-0.490520415353388	-0.423976409313608	0.239671479187417	-0.83723857442028	-0.746443523665952
YAR031W	1.23016911462895	1.55819745497658	0.280595329964774	1.37246037725942	0.605093777727629	0.479568114049912	0.13992034676413	-0.340177298233238
YAR071W	7.58180795488971	7.28886287446176	5.98357904168045	6.00781893084324	3.64851111167033	0.0622346305599832	0.460489117303505	0.200841928711752
YBL043W	1.7262306952518	1.67257754094023	0.913409971504091	1.67128426793161	0.896184889409284	-0.0359530411385935	0.189735478740011	-0.24609008770514
YBL049W	2.57591115279661	2.59569573542533	2.23761616126585	2.27336272903896	1.33891951899326	0.141794215900784	0.333181847242941	-0.0370549941317915
YBL069W	2.14507651888872	2.37978695547685	1.67056077073398	1.4285492308136	1.01393212799923	0.0477112475526198	0.0125051399045084	0.16792133583099
YBR045C	2.40607098925157	1.4985496921851	0.830657448396911	0.624320162839719	0.265674997181493	0.717615014836225	0.308935854994307	0.243988942730396
YBR050C	2.4901995593006	2.74573459803913	1.34525224189138	0.763393517235559	0.398107497102937	-0.335605014099581	0.95194233438159	0.18714416000702
YBR067C	2.33823284065728	1.78155474842842	1.33271871740092	1.48738718572589	1.09090874411739	1.76852681422044	0.138441725603432	0.0510182814631879
YBR072W	3.68313039373791	3.39537869180061	2.89249824792228	1.24191225076798	2.3765718766833	0.0340925560697487	1.03122055874202	-0.270349883269436
YBR093C	8.54449230994175	8.41205448950465	6.84638005711097	6.60127860067717	3.5000620615914	0.509152360929174	0.777190508163013	0.725331632729567
YBR094W	0.422378549029471	0.255815079624081	-0.0103016643328599	0.257762245030469	-0.182052172487951	0.0252693961665047	-0.0363171961205424	0.0345238134348307
YBR117C	2.54700384204223	1.9977385894249	1.62254655248585	-1.02201855832292	0.883512109563527	-0.147186696638063	-0.450798836331855	-0.587213553007341
YBR145W	0.584836652312032	1.38791912261371	1.5459750374774	1.53286115841205	1.3789813070242	-0.425009315647443	0.0951975821060342	-0.110321941812757
YBR147W	1.01432407932312	1.24139353957795	1.01165410809027	-0.0520481012243006	1.11053456929668	0.053621027241177	0.471067397316064	-0.0943320363417062
