Sample,Gene,Count
13Y1_Scer4_pho2,Scer4,315
13Y1_Scer4_pho2,ScerACT1,10056
13Y1_Scer4_pho2,ScerALG9,1792
13Y1_Scer4_pho2,ScerHEM2,690
13Y1_Scer4_pho2,ScerRPN2,3371
13Y1_Scer4_pho2,Smik2,19
13Y1_Scer4_pho2,Suva2,9
13Y2_Scer4_pho2,Lelo4,16
13Y2_Scer4_pho2,Ndel4,1
13Y2_Scer4_pho2,Scer4,221
13Y2_Scer4_pho2,ScerACT1,9662
13Y2_Scer4_pho2,ScerALG9,1348
13Y2_Scer4_pho2,ScerHEM2,628
13Y2_Scer4_pho2,ScerRPN2,2626
13Y2_Scer4_pho2,Smik2,3
13Y2_Scer4_pho2,Suva2,5
