ORF,O1,O2,N1,N2,S1,S2,Q1,Q2
CAGL0G06006g,155,156,299,232,70,93,246,184
CAGL0G06028g,1901,1433,1412,1369,832,848,1256,700
CAGL0G06050g,3,3,5166,4607,1,2,5301,3915
CAGL0G06072g,949,675,1425,1276,420,412,1282,739
CAGL0G06094g,512,419,791,807,253,340,752,467
CAGL0G06116g,400,280,519,392,210,357,436,275
CAGL0G06138g,4264,3767,4099,3047,1475,2090,3664,2781
CAGL0G06160g,6,3,5,4,4,1,1,3
CAGL0G06182g,117,74,144,102,46,56,81,59
CAGL0G06204r,0,0,0,0,0,0,0,0
CAGL0G06226g,820,560,857,760,271,565,943,513
CAGL0G06248g,3585,2851,2297,1379,1163,2110,2154,2148
CAGL0G06270g,1920,1279,1862,1752,610,1157,1971,940
CAGL0G06292g,451,384,388,375,151,340,471,372
CAGL0G06314g,868,488,784,737,271,476,1098,660
CAGL0G06336g,2525,1587,2108,1493,504,1207,1798,983
CAGL0G06358g,1155,894,1191,993,504,731,1184,864
CAGL0G06380g,3162,2335,3889,2817,1119,1625,2887,1830
CAGL0G06402g,2143,1288,1419,1422,1168,1423,1731,965
CAGL0G06424g,1082,677,692,953,909,899,819,374
CAGL0G06446g,4,5,3,8,5,2,4,0
CAGL0G06468g,716,584,807,849,336,543,792,372
CAGL0G06490g,37741,28593,28270,20517,15671,22545,28500,20144
CAGL0G06512r,0,0,0,0,0,0,0,0
CAGL0G06556g,800,585,782,632,304,448,819,498
CAGL0G06578g,601,365,494,480,245,400,570,270
CAGL0G06600g,1028,799,1063,1016,397,562,1000,799
CAGL0G06622g,488,381,591,629,268,452,866,427
CAGL0G06644g,0,0,0,0,0,0,0,0
CAGL0G06666g,2205,1508,2175,1903,793,1214,2303,1268
CAGL0G06688g,1085,855,1064,835,435,638,973,833
CAGL0G06710g,0,0,0,0,0,0,0,0
CAGL0G06732g,4157,2993,3751,3632,1907,1743,4425,3005
CAGL0G06754g,3436,2616,3060,2890,1375,1790,3853,2436
CAGL0G06776g,1295,928,1036,910,652,646,1050,814
CAGL0G06798g,56,104,50,24,7,21,14,23
CAGL0G06820g,424,337,457,397,128,289,469,276
CAGL0G06842g,1232,942,1585,2167,520,625,1877,1100
CAGL0G06864g,323,227,356,291,70,155,263,185
CAGL0G06886g,3276,2937,3521,3170,1588,2397,3657,2298
CAGL0G06908g,6611,3962,4932,3708,2586,3617,5355,3410
CAGL0G06930g,395,276,389,302,143,291,275,213
CAGL0G06952g,2061,1258,7087,6247,801,1291,6620,3215
CAGL0G06974g,726,631,552,415,281,476,592,503
CAGL0G06996g,2,2,2,5,1,2,3,0
