ORF,O1,O2,N1,N2,S1,S2,Q1,Q2
CAGL0A00105g,0,0,0,1,0,0,0,0
CAGL0A00110g,0,0,0,1,0,0,0,0
CAGL0A00116g,0,0,0,0,0,0,0,0
CAGL0A00132g,0,0,1,0,0,0,0,0
CAGL0A00154g,0,0,0,0,0,0,0,0
CAGL0A00165g,222,135,283,186,90,215,170,77
CAGL0A00187g,1190,905,1094,963,436,671,1169,919
CAGL0A00209g,5400,3278,4551,4301,2370,2674,4940,2441
CAGL0A00231g,1524,954,1328,935,357,630,1100,653
CAGL0A00253g,1334,927,1226,1026,682,813,1361,849
CAGL0A00275g,2056,1488,1703,1330,870,1128,1918,1312
CAGL0A00297g,485,453,486,426,264,398,520,451
CAGL0A00319g,620,504,560,512,234,409,594,419
CAGL0A00341g,46,42,96,86,32,40,76,32
CAGL0A00363g,5021,2999,3614,3459,2421,2757,4870,2874
CAGL0A00385g,639,472,472,404,109,228,524,319
CAGL0A00407g,3092,2008,2626,2735,1299,1734,3464,2501
CAGL0A00429g,4027,2497,3256,2727,1569,2393,3158,1746
CAGL0A00451g,1996,1406,1591,1296,564,977,1711,1230
CAGL0A00473g,2508,1757,1855,1360,636,1051,1845,1377
CAGL0A00495g,63580,37892,55199,39140,19734,19087,38810,29249
CAGL0A00517g,1296,910,1625,1598,563,545,1289,789
CAGL0A00539g,1178,934,1200,936,610,962,1182,779
CAGL0A00561g,259,151,249,225,111,181,248,118
CAGL0A00583g,655,402,513,390,160,401,473,293
CAGL0A00605g,646,461,706,691,333,387,720,425
CAGL0A00627g,1429,953,1198,853,419,733,1242,808
CAGL0A00649g,6,5,6,4,3,11,5,5
CAGL0A00671r,0,1,0,0,0,1,0,0
CAGL0A00715g,0,0,0,0,0,0,1,0
CAGL0A00737g,30,25,106,40,5,6,80,31
CAGL0A00759s,0,0,0,0,0,0,0,0
CAGL0A00781g,1044,677,1384,1425,242,663,1103,582
CAGL0A00803g,1150,768,1178,979,362,711,1142,761
CAGL0A00825g,803,699,772,644,379,548,861,613
CAGL0A00847g,466,300,354,249,116,285,395,251
CAGL0A00869g,483,443,443,350,54,328,502,369
CAGL0A00891g,1120,753,1041,944,485,711,1191,737
CAGL0A00913g,975,703,871,632,179,521,748,606
CAGL0A00935g,905,690,417,351,348,522,438,423
CAGL0A00957g,1000,671,526,688,523,637,620,317
CAGL0A00979g,17591,12153,12382,9968,7234,10639,11862,8737
CAGL0A01001g,693,512,831,682,254,224,556,418
CAGL0A01023g,940,671,888,766,322,390,715,551
CAGL0A01045g,5278,4494,5051,4457,1884,1516,4720,3927
CAGL0A01067g,3606,2986,2576,1883,1453,2187,2579,2167
CAGL0A01089g,108,87,85,113,61,78,111,67
CAGL0A01111g,1981,1785,2004,1859,850,1019,1892,1639
CAGL0A01133g,916,514,896,978,413,562,954,565
CAGL0A01155g,609,500,567,438,243,360,580,396
CAGL0A01177g,291,206,216,166,100,128,151,168
CAGL0A01193g,464,547,460,358,221,281,479,340
CAGL0A01199g,3202,3015,1839,1538,1016,1293,2504,2415
CAGL0A01221g,3108,2390,2694,2672,2369,2593,2586,1247
CAGL0A01243g,873,711,42205,35711,684,360,24965,19689
CAGL0A01284g,101,84,326,333,56,75,289,140
CAGL0A01325g,69,59,75,41,21,24,69,39
CAGL0A01366g,51,60,194,181,35,26,136,72
CAGL0A01408g,49,59,50,46,23,11,36,34
CAGL0A01430g,8921,4938,6313,5111,4151,5044,6001,3778
CAGL0A01452g,1128,648,933,766,306,602,744,404
CAGL0A01474g,2666,2726,2266,1478,1027,1451,1650,2269
CAGL0A01496r,0,0,0,0,0,0,1,0
CAGL0A01540g,24913,14593,18881,12367,11434,13419,18046,10119
CAGL0A01562g,50137,35830,37342,26659,26899,37058,37098,23118
CAGL0A01584g,35,37,35,29,8,21,38,43
CAGL0A01606g,69,36,239,218,34,42,171,125
CAGL0A01628g,900,774,1907,1261,319,480,1265,1154
CAGL0A01650g,340,352,2010,1449,178,268,1411,990
CAGL0A01672g,1557,1156,1279,1230,781,1113,1611,1015
CAGL0A01694g,297,194,438,427,151,217,404,177
CAGL0A01716g,574,606,1623,1797,305,259,1123,832
CAGL0A01738g,1789,1148,3206,2820,702,1203,2212,1030
CAGL0A01760g,1068,713,936,887,471,759,1089,581
CAGL0A01782g,21428,12993,22288,8678,8174,11271,10550,12861
CAGL0A01804g,3065,2351,3961,2355,694,1121,2606,2930
CAGL0A01826g,8,7,21,27,2,2,24,11
CAGL0A01848g,2640,1692,2688,2290,991,1541,2909,1485
CAGL0A01870g,273,203,273,332,142,202,305,157
CAGL0A01892g,0,0,0,0,0,0,0,0
CAGL0A01914g,3593,2301,2863,2068,1219,2608,2978,1839
CAGL0A01936r,0,1,0,0,0,0,0,0
CAGL0A01958g,2088,1374,1546,990,653,1231,1557,1098
CAGL0A01980g,1360,982,1067,813,360,713,1182,749
CAGL0A02002g,26,45,66,70,7,12,65,39
CAGL0A02024g,349,201,357,422,157,225,449,183
CAGL0A02046g,924,580,1723,1527,425,649,1496,649
CAGL0A02068r,0,0,0,0,0,0,0,0
CAGL0A02090g,7264,5025,4829,3499,2570,3612,4032,2975
CAGL0A02112g,12863,8222,7566,5679,5831,6699,7206,4436
CAGL0A02134g,763,630,543,685,369,759,715,339
CAGL0A02145g,28,26,28,28,39,24,34,18
CAGL0A02167r,0,0,0,0,0,0,0,0
CAGL0A02189g,9171,6673,6280,4432,3267,4949,6049,4389
CAGL0A02211g,5107,3135,4759,1381,1269,2056,1754,1944
CAGL0A02233g,1269,1069,2416,977,377,529,1175,1217
CAGL0A02255g,0,0,0,0,0,0,0,0
CAGL0A02277g,0,0,0,0,0,0,0,0
CAGL0A02299g,247,162,171,102,78,109,94,92
CAGL0A02321g,5294,3421,7926,5133,1344,1780,5187,4138
CAGL0A02343g,4,0,0,2,0,2,0,0
CAGL0A02365g,4000,2617,4381,3415,1649,1826,3216,2012
CAGL0A02387g,1690,1026,1319,1244,676,770,1451,899
CAGL0A02409g,2102,1660,2102,1948,610,651,2180,1566
CAGL0A02431g,1012,863,1074,926,456,317,942,657
CAGL0A02453r,0,0,0,0,0,0,0,0
CAGL0A02475g,454,343,578,540,194,141,400,266
CAGL0A02486g,1209,937,1322,1070,366,559,1082,799
CAGL0A02508g,884,651,827,684,397,469,873,513
CAGL0A02530g,3007,1875,2502,2218,1999,1644,2896,1423
CAGL0A02552g,1655,1337,1433,1378,709,861,1438,1092
CAGL0A02574g,2650,2101,1976,1748,978,796,2056,1551
CAGL0A02596g,1135,888,1154,998,490,884,1295,755
CAGL0A02618g,413,399,408,315,220,223,329,339
CAGL0A02629g,3866,2953,3691,3647,1589,1982,3940,2541
CAGL0A02651g,1505,953,1423,1123,512,826,1386,843
CAGL0A02673g,3040,2909,2268,1797,1290,1704,2409,2043
CAGL0A02695g,778,611,834,789,274,304,833,530
CAGL0A02706g,360,292,344,315,195,143,342,196
CAGL0A02728g,822,920,786,759,440,431,1018,1072
CAGL0A02750g,3086,2198,2911,3321,1151,1276,4187,3459
CAGL0A02772g,658,452,474,301,258,399,430,344
CAGL0A02794g,851,626,809,683,373,511,894,536
CAGL0A02816g,668,569,822,964,353,367,1030,687
CAGL0A02838g,439,278,346,299,146,283,366,214
CAGL0A02860g,691,487,697,509,275,535,646,434
CAGL0A02882g,883,593,899,867,502,526,886,574
CAGL0A02904g,248,181,277,199,125,202,228,129
CAGL0A02926g,2638,1717,2474,2292,1134,1763,2799,1548
CAGL0A02948g,653,480,640,547,306,427,676,441
CAGL0A02970g,1,1,3,1,0,0,3,0
CAGL0A02981g,131,120,78,83,60,73,109,68
CAGL0A02992g,850,638,721,606,355,467,809,610
CAGL0A03014g,604,453,631,537,268,295,602,400
CAGL0A03036g,3816,3360,3540,2811,1763,2088,2951,2758
CAGL0A03051g,1496,1420,1227,927,724,764,1265,1114
CAGL0A03058g,1544,1129,1639,1355,624,784,1448,995
CAGL0A03080g,316,356,482,435,184,192,427,386
CAGL0A03102g,178,148,20,19,101,49,30,20
CAGL0A03117g,5525,4012,4861,3642,2446,3319,3999,2847
CAGL0A03146g,356,259,280,252,164,119,297,221
CAGL0A03168g,28484,14709,21019,15321,12271,15344,21718,10015
CAGL0A03190g,392,335,415,408,191,208,452,320
CAGL0A03212g,2462,1885,1865,1514,637,851,1082,686
CAGL0A03234g,61006,41317,46476,35583,25690,28181,42702,27596
CAGL0A03256g,631,449,528,438,197,384,604,337
CAGL0A03278g,62167,47338,47839,33750,31265,40612,46583,31897
CAGL0A03300g,5,1,4,2,3,9,1,0
CAGL0A03322g,649,421,645,562,226,343,602,351
CAGL0A03344g,578,365,663,669,227,392,738,377
CAGL0A03355r,88,82,61,31,38,44,46,32
CAGL0A03366g,5611,4294,6368,6503,2617,2640,5434,3265
CAGL0A03388g,60233,49279,43728,31561,26673,33563,42179,30713
CAGL0A03410g,72,40,45,32,9,32,46,33
CAGL0A03432g,711,508,752,704,233,454,736,380
CAGL0A03454g,1440,1023,1155,1101,431,1090,1378,828
CAGL0A03476g,2280,1589,2661,2642,937,1371,2230,1111
CAGL0A03498g,1431,934,682,763,564,964,842,376
CAGL0A03520r,0,0,0,0,0,0,0,0
CAGL0A03542g,4762,3255,4204,2867,2075,2677,3852,2784
CAGL0A03564g,778,515,784,690,217,588,791,429
CAGL0A03586g,28,20,40,35,7,20,26,21
CAGL0A03608g,407,315,132,192,144,265,191,125
CAGL0A03630g,760,544,693,728,312,467,950,500
CAGL0A03652g,3586,2735,2542,1240,1177,2350,1926,1803
CAGL0A03674g,622,446,413,271,208,336,325,377
CAGL0A03696g,2441,1866,2198,2023,1117,1292,2240,1477
CAGL0A03718g,7119,4143,7384,7109,2978,4055,8173,3887
CAGL0A03740g,169,124,302,325,101,76,285,158
CAGL0A03762r,0,0,0,0,0,0,0,0
CAGL0A03784g,550,357,454,334,194,301,483,319
CAGL0A03806g,1,1,0,0,0,0,0,0
CAGL0A03828g,959,684,831,707,352,581,765,450
CAGL0A03850r,0,0,0,0,0,0,0,0
CAGL0A03872g,1842,1476,2107,2075,876,919,2235,1507
CAGL0A03883g,667,491,531,471,262,217,610,408
CAGL0A03905g,1489,1411,1610,1380,434,326,1383,1133
CAGL0A03927g,1823,1526,1791,1699,577,570,1660,1489
CAGL0A03949g,1068,916,1033,777,492,588,942,688
CAGL0A03971g,923,637,705,500,421,685,768,526
CAGL0A03993g,710,523,664,572,292,430,802,571
CAGL0A04015g,17016,12260,11793,6379,5896,8738,9783,7715
CAGL0A04037g,2991,2511,2292,1550,768,959,1855,1708
CAGL0A04059g,2357,1979,1910,1677,706,931,1611,1374
CAGL0A04081g,1670,1987,1680,1792,708,660,1660,1412
CAGL0A04103g,622,507,639,633,305,294,755,472
CAGL0A04125g,5172,4498,4031,3272,1811,2367,4072,3267
CAGL0A04147g,282,185,285,265,158,211,269,163
CAGL0A04169g,2238,1717,2116,1499,573,826,1560,1251
CAGL0A04191g,1575,1548,1365,930,706,628,1158,990
CAGL0A04213g,3039,2528,2475,1701,728,1160,2224,2140
CAGL0A04235g,1142,775,972,807,465,684,1172,676
CAGL0A04257g,3170,2353,2523,1500,820,1492,1670,1435
CAGL0A04279g,691,516,685,736,331,278,684,411
CAGL0A04301g,1119,780,1136,1362,779,743,1225,542
CAGL0A04323g,995,972,851,656,458,570,791,780
CAGL0A04345g,1845,1381,1817,1949,980,1141,2216,1524
CAGL0A04367g,345,279,277,257,185,209,288,269
CAGL0A04389g,738,573,614,560,374,467,696,460
CAGL0A04411g,1448,1221,1258,1073,648,908,1248,762
CAGL0A04433g,2890,2314,3881,3835,1299,1380,3481,2558
CAGL0A04455g,1773,1245,1788,1582,655,929,1813,1340
CAGL0A04477g,829,579,869,862,278,566,907,525
CAGL0A04499g,294,218,248,204,104,192,208,145
CAGL0A04521g,62775,47125,46637,34815,28201,35835,49380,34987
CAGL0A04532r,2,1,1,1,0,2,3,1
CAGL0A04543g,1003,883,786,638,441,586,682,613
CAGL0A04565g,2927,2132,1831,1941,984,1897,2183,1159
CAGL0A04587g,395,191,298,272,95,170,271,133
CAGL0A04631g,1814,1275,1444,1107,580,1069,1316,898
CAGL0A04653g,1287,877,1037,807,335,883,1227,727
CAGL0A04675g,78,98,127,161,86,85,138,81
CAGL0A04697g,1210,1039,1476,1273,630,784,1372,1083
CAGL0A04719g,3898,2252,3205,3043,1228,1965,4163,2863
CAGL0A04741g,5602,3443,4656,4111,2431,3448,4711,2457
CAGL0A04785g,1994,1532,1829,1672,868,1140,1789,1233
CAGL0A04807g,2470,1480,1896,1854,570,1351,3001,1936
CAGL0A04829g,2578,1663,5501,3298,1036,1464,2758,2573
CAGL0A04873g,1,0,0,0,0,2,0,0
CAGL0B00105g,0,0,0,0,0,0,0,0
CAGL0B00110g,0,0,0,0,10,22,0,0
CAGL0B00116g,0,0,0,0,4,5,0,0
CAGL0B00165r,0,0,0,0,0,0,0,0
CAGL0B00220g,0,0,0,0,1,0,0,0
CAGL0B00242g,0,0,0,0,0,0,0,0
CAGL0B00264g,0,0,0,0,0,0,0,0
CAGL0B00286g,988,582,772,301,250,446,285,119
CAGL0B00308g,829,614,720,541,299,591,552,318
CAGL0B00330g,2257,1796,1909,1567,717,1817,2298,1320
CAGL0B00352g,4079,2908,3028,1557,1441,3042,2509,2021
CAGL0B00374g,718,448,541,326,126,526,527,392
CAGL0B00396g,2284,1643,2297,2060,740,1436,2031,1309
CAGL0B00418g,2860,1699,2640,2307,939,1627,2682,1461
CAGL0B00440g,1869,1251,1881,1369,976,1395,1141,717
CAGL0B00462g,8,2,1,5,5,6,8,7
CAGL0B00484g,6867,5039,4587,2281,1816,4039,3719,3420
CAGL0B00506g,1232,883,1273,957,460,1022,1344,792
CAGL0B00528g,862,793,1113,860,376,663,1051,933
CAGL0B00550g,4662,3286,3854,3180,1856,2930,3821,2214
CAGL0B00572g,6,2,8,7,2,6,6,2
CAGL0B00594g,10621,6373,10272,5413,3936,4166,6290,4538
CAGL0B00616g,38,30,25,32,6,22,18,11
CAGL0B00638g,255,163,267,208,52,174,234,146
CAGL0B00660g,3032,1929,2664,2292,856,1783,2830,1638
CAGL0B00682g,931,605,935,891,350,530,1067,601
CAGL0B00704g,9398,6270,8543,8985,4792,4629,8446,4967
CAGL0B00715g,13,11,23,18,1,6,20,10
CAGL0B00726g,5,7,4,8,3,8,14,0
CAGL0B00748g,996,599,1118,1226,377,616,1248,624
CAGL0B00770g,457,288,567,652,246,264,644,279
CAGL0B00792g,9750,8794,6763,3978,2693,5052,6663,6828
CAGL0B00814g,991,697,1235,1508,584,585,1285,722
CAGL0B00836g,561,449,675,472,163,262,623,417
CAGL0B00858g,494,326,523,519,211,266,508,257
CAGL0B00880g,1975,1451,1463,900,483,1199,1355,1137
CAGL0B00902g,1353,833,923,950,561,538,991,560
CAGL0B00924g,365,241,326,298,167,200,253,192
CAGL0B00946g,2215,1707,1983,2617,1203,1356,2319,1106
CAGL0B00968g,50,32,20,23,15,21,24,21
CAGL0B00990g,189,184,175,160,97,80,260,319
CAGL0B01012g,49,25,22,26,10,19,26,18
CAGL0B01034r,1,2,0,0,0,0,1,0
CAGL0B01078g,187,111,243,220,67,88,192,98
CAGL0B01100g,601,661,1143,1196,230,163,819,618
CAGL0B01122g,24231,18923,14610,11310,9742,9958,12696,9902
CAGL0B01144g,634,452,585,580,295,342,742,472
CAGL0B01166g,1961,1278,1844,1773,825,1110,2051,1098
CAGL0B01188g,1860,1441,1689,1667,749,1047,1871,1202
CAGL0B01203g,27988,20738,20511,14852,12846,14043,21259,14691
CAGL0B01232g,1696,1430,1154,681,522,727,856,931
CAGL0B01243g,0,0,0,0,0,0,0,0
CAGL0B01265g,16,8,16,13,2,6,8,13
CAGL0B01287g,775,716,787,704,169,486,897,540
CAGL0B01309r,0,0,1,0,0,3,0,0
CAGL0B01331g,896,707,833,657,384,558,881,579
CAGL0B01353g,1780,1382,1536,1352,637,894,1664,1214
CAGL0B01375g,5595,3686,5049,4027,2217,3326,4819,3211
CAGL0B01397g,1715,1350,1287,829,453,656,955,912
CAGL0B01419g,1797,1461,1862,1911,1160,1176,1802,1264
CAGL0B01441g,1846,1512,1625,1459,784,796,1642,1208
CAGL0B01463g,1279,985,913,660,545,675,933,747
CAGL0B01485g,1271,950,985,711,366,824,876,602
CAGL0B01507g,768,509,768,677,248,532,859,687
CAGL0B01529g,377,267,386,382,174,205,408,268
CAGL0B01551g,1961,1280,1683,1404,319,1280,2022,1093
CAGL0B01573g,618,471,482,462,256,336,559,412
CAGL0B01589g,635,549,546,522,316,582,574,369
CAGL0B01595g,83,96,88,65,13,64,66,55
CAGL0B01617g,1051,875,982,637,133,775,948,682
CAGL0B01639g,793,514,897,847,269,602,983,456
CAGL0B01661r,0,0,0,0,0,0,0,0
CAGL0B01683g,3129,1879,2836,2158,867,1610,2664,1390
CAGL0B01705g,735,534,610,548,207,487,682,401
CAGL0B01727g,323,245,317,363,85,153,338,247
CAGL0B01743g,112,85,155,156,48,53,125,67
CAGL0B01771g,1282,1013,985,736,369,757,1099,831
CAGL0B01793g,1208,981,895,739,450,782,1002,810
CAGL0B01815g,1913,1497,1577,1322,726,951,1732,1253
CAGL0B01837g,1631,1234,1263,1022,650,1226,1437,1107
CAGL0B01859g,277,182,232,223,70,254,287,181
CAGL0B01875g,0,0,1,0,0,2,1,1
CAGL0B01881g,2475,1945,1875,1224,774,1360,1669,1268
CAGL0B01903g,1014,919,949,805,423,491,1024,757
CAGL0B01925g,203,134,355,349,119,163,329,188
CAGL0B01947g,9015,8072,3154,3658,3032,7740,4910,2433
CAGL0B01969g,92,68,130,102,32,43,121,68
CAGL0B01991g,332,228,305,289,133,276,319,155
CAGL0B02013g,504,361,509,468,171,313,579,281
CAGL0B02035g,4945,2743,4921,5025,2085,2709,5196,2699
CAGL0B02057g,248,186,228,164,64,111,137,112
CAGL0B02079g,3,1,1,3,1,4,3,1
CAGL0B02101g,399,358,378,389,274,234,479,269
CAGL0B02123g,761,576,701,577,298,485,781,542
CAGL0B02137r,3,4,3,0,0,1,3,7
CAGL0B02145g,1311,1151,1246,1202,512,742,1389,870
CAGL0B02167g,2108,1310,1645,1292,901,1010,1929,1164
CAGL0B02189g,6218,3834,5434,4010,1467,3586,5315,2898
CAGL0B02211g,775,574,894,706,246,713,862,468
CAGL0B02233g,580,421,528,401,147,331,543,348
CAGL0B02255g,1300,885,1041,875,534,637,1287,792
CAGL0B02277g,759,767,648,484,272,458,658,663
CAGL0B02299g,573,390,516,376,115,213,509,366
CAGL0B02321g,4540,3013,3857,3428,1735,2637,3732,2048
CAGL0B02343g,126,87,107,60,28,88,66,55
CAGL0B02365g,1210,844,1178,1177,501,596,1302,753
CAGL0B02387g,99,124,169,218,61,47,165,103
CAGL0B02409g,988,851,1050,857,411,440,1041,817
CAGL0B02431g,1876,1128,3370,3665,836,667,2741,1712
CAGL0B02453g,679,493,1777,1513,341,290,1387,892
CAGL0B02475g,81,48,56150,46424,12,15,37078,28978
CAGL0B02497g,3925,3374,3410,3370,1142,1144,3566,2650
CAGL0B02519g,2901,1840,2121,1643,979,1198,2342,1887
CAGL0B02541g,2193,1519,1878,1585,753,1415,1903,1217
CAGL0B02563g,754,648,2516,2412,380,343,1164,636
CAGL0B02585g,7224,6317,5842,4854,2998,3501,5333,3774
CAGL0B02607g,3496,2724,2756,1885,1077,1251,1951,1653
CAGL0B02629g,1979,1585,1872,1506,689,1113,1936,1089
CAGL0B02651g,1,0,0,2,0,4,2,0
CAGL0B02673g,940,705,820,676,273,602,843,575
CAGL0B02695g,657,539,607,645,293,601,804,414
CAGL0B02717g,15058,10923,14116,10213,6894,7019,8899,6247
CAGL0B02739g,1092,768,970,1005,466,668,1062,552
CAGL0B02755g,391,364,331,470,206,291,438,302
CAGL0B02761g,540,393,484,481,187,297,511,212
CAGL0B02772g,421,286,436,377,111,312,475,278
CAGL0B02794g,2049,1445,1915,1741,1088,1293,1702,926
CAGL0B02816g,808,576,789,590,251,493,664,471
CAGL0B02838g,2160,1570,2547,1736,1053,864,1918,1767
CAGL0B02860g,635,502,1518,1562,263,278,926,463
CAGL0B02882g,105,92,2023,1545,26,31,939,379
CAGL0B02904g,17,3,84,160,2,3,116,17
CAGL0B02926g,19,9,2740,4274,5,5,1807,240
CAGL0B02948g,109,82,296,246,23,23,210,101
CAGL0B02970g,1067,775,2728,2210,283,249,1712,942
CAGL0B02981g,922,758,1038,1028,496,366,928,479
CAGL0B03014g,1160,967,1391,1415,689,709,1181,639
CAGL0B03047g,13974,8951,12084,10474,5895,6341,13930,8597
CAGL0B03069g,5625,4272,5885,9410,3582,2910,7415,3931
CAGL0B03091g,773,640,638,509,287,424,692,411
CAGL0B03113g,718,630,600,625,317,412,719,393
CAGL0B03135r,0,2,1,0,0,0,0,0
CAGL0B03179g,1401,1024,1145,933,545,907,1167,791
CAGL0B03201g,178,101,181,266,114,104,316,143
CAGL0B03223g,4,1,2,0,0,0,3,2
CAGL0B03245g,6343,4305,5106,4133,2128,3196,4957,3202
CAGL0B03267g,963,606,780,638,481,615,892,583
CAGL0B03289g,728,521,711,719,345,399,858,549
CAGL0B03311g,135,111,201,175,66,96,206,114
CAGL0B03333g,2391,1585,1966,1571,980,1378,2206,1339
CAGL0B03355g,385,315,338,357,205,249,451,310
CAGL0B03377g,664,457,643,583,272,395,648,353
CAGL0B03399g,1754,1388,1888,1729,445,1325,2088,1228
CAGL0B03421g,915,819,736,665,372,539,809,463
CAGL0B03443g,639,411,652,726,295,363,695,397
CAGL0B03465g,73,79,194,250,67,78,185,91
CAGL0B03487g,99573,73966,87196,60170,36202,41194,66648,50940
CAGL0B03509g,3488,2581,4306,4090,1484,1590,2991,1567
CAGL0B03520r,2,1,3,1,0,3,5,2
CAGL0B03531g,109,73,114,104,44,55,170,129
CAGL0B03553g,4120,2506,3157,2302,1630,3406,2802,1449
CAGL0B03575g,1367,1029,1283,1286,571,918,1558,898
CAGL0B03597g,1026,910,1110,1175,414,408,1042,725
CAGL0B03608g,205,189,194,140,85,85,174,150
CAGL0B03619g,647,465,1302,1350,326,236,1220,768
CAGL0B03641g,976,732,986,818,385,476,948,558
CAGL0B03663g,1129,883,230,317,557,356,448,293
CAGL0B03685g,9640,7084,9659,9043,4948,4552,8322,5483
CAGL0B03707g,1002,849,897,767,348,468,872,651
CAGL0B03729r,2,0,1,0,0,0,1,0
CAGL0B03773g,3491,2269,3249,2534,1218,1415,2585,1669
CAGL0B03795g,6377,4513,4799,3857,2774,3885,4711,3566
CAGL0B03817g,260,227,498,660,245,196,486,249
CAGL0B03839g,295,274,397,289,180,159,332,228
CAGL0B03855g,798,638,763,696,373,565,810,564
CAGL0B03861g,315,236,257,205,113,165,214,163
CAGL0B03883g,953,606,754,603,372,445,762,418
CAGL0B03899g,78,65,61,97,62,59,114,56
CAGL0B03905g,945,706,888,855,352,490,917,591
CAGL0B03927g,3596,2510,2396,1722,1653,2559,2440,1663
CAGL0B03949g,688,456,753,601,207,367,841,471
CAGL0B03971g,827,501,801,724,363,419,771,463
CAGL0B03993g,6335,3863,3863,3170,2154,2974,4529,2751
CAGL0B04015g,1683,1205,1381,1280,785,1201,1726,988
CAGL0B04037g,596,384,628,610,307,392,573,302
CAGL0B04059g,605,441,900,804,327,276,699,528
CAGL0B04081r,0,0,1,0,0,0,1,0
CAGL0B04103g,321,229,336,298,102,198,319,270
CAGL0B04125g,6008,5075,3920,2519,2141,3199,3919,3710
CAGL0B04147g,1894,1274,1557,1288,669,996,1843,1112
CAGL0B04169g,4252,2744,2654,1487,1246,2433,2243,1844
CAGL0B04191g,1288,934,1060,932,466,576,1092,698
CAGL0B04213g,7,2,9,7,12,23,15,7
CAGL0B04235g,52,41,44,27,19,31,31,23
CAGL0B04257g,83010,65042,56725,39007,32465,35585,54123,41372
CAGL0B04279g,976,892,748,518,387,595,655,685
CAGL0B04301g,1188,961,1168,754,376,543,1005,872
CAGL0B04323g,1183,839,1651,1460,589,577,1322,809
CAGL0B04345g,11027,7833,8293,7006,3221,4342,8436,5544
CAGL0B04367g,278,204,366,269,166,186,346,221
CAGL0B04389g,1542,882,1300,1083,362,743,1245,741
CAGL0B04411g,376,238,351,312,188,257,248,152
CAGL0B04433g,2176,1403,2393,1089,684,1046,1192,945
CAGL0B04455g,21,17,49,17,12,29,11,12
CAGL0B04477g,603,500,693,576,302,355,574,415
CAGL0B04499g,1823,1299,1414,1473,925,1241,1792,1154
CAGL0B04521g,2730,2392,2542,2261,1188,1508,2559,1881
CAGL0B04543g,540,349,489,538,267,206,512,266
CAGL0B04565g,5744,4059,4808,4074,3142,2966,4667,2744
CAGL0B04587g,3779,2859,2163,1943,1932,1985,1710,1121
CAGL0B04609g,824,577,634,512,306,536,602,378
CAGL0B04631g,3269,2157,3012,2993,1216,1836,3438,1811
CAGL0B04653s,0,0,0,0,0,0,0,0
CAGL0B04675g,247,266,100,86,51,96,48,46
CAGL0B04697g,1788,1339,1636,1611,807,1203,1832,1106
CAGL0B04719g,158,133,146,115,46,125,146,66
CAGL0B04741g,882,629,691,604,317,542,832,531
CAGL0B04763g,241,148,253,244,113,124,238,103
CAGL0B04785g,281,193,271,225,141,150,274,126
CAGL0B04807g,2989,2385,2417,2193,1209,1618,2287,1720
CAGL0B04829g,624,549,582,468,264,459,624,484
CAGL0B04851g,3008,1814,2387,2072,962,1442,2569,1320
CAGL0B04873g,725,549,619,490,294,508,654,378
CAGL0B04895g,659,486,668,563,283,588,957,546
CAGL0B04917g,515,331,601,584,212,264,678,366
CAGL0B04939g,262,164,279,191,42,112,190,116
CAGL0B04961g,2824,2265,1988,1417,1130,1899,2045,1544
CAGL0B04983g,776,557,790,684,309,560,818,577
CAGL0B05005r,0,0,0,0,0,0,0,0
CAGL0B05027r,0,0,0,0,0,0,0,0
CAGL0B05049g,1713,1311,1385,1086,527,1335,1173,870
CAGL0B05093g,0,0,0,0,0,0,0,0
CAGL0B05126g,0,0,0,0,0,0,0,0
CAGL0B05137g,0,0,0,0,0,0,0,0
CAGL0B05148g,0,0,0,0,0,0,0,0
CAGL0C00110g,1,4,1129,1404,1325,3242,64,32
CAGL0C00209g,11,7,27,43,39,61,6,4
CAGL0C00231g,137,85,148,134,49,117,56,45
CAGL0C00253g,21,19,16,17,7,3,16,6
CAGL0C00275g,466,319,1708,919,270,282,305,164
CAGL0C00297g,1999,1545,1687,1102,491,1323,1544,1120
CAGL0C00319g,1536,979,1503,1669,708,845,1326,670
CAGL0C00341g,672,482,613,518,389,460,752,447
CAGL0C00363g,1754,1690,1876,1535,666,593,1715,1453
CAGL0C00385g,2317,1780,1952,1605,873,1295,1942,1419
CAGL0C00407g,614,383,785,635,285,439,700,439
CAGL0C00429g,586,423,529,536,235,411,655,304
CAGL0C00451g,849,586,1197,1197,439,553,995,572
CAGL0C00473g,1097,685,985,798,309,692,1116,534
CAGL0C00495g,459,409,359,342,237,239,493,319
CAGL0C00517g,1097,839,1077,985,440,586,1064,585
CAGL0C00539g,610,452,918,709,228,275,759,391
CAGL0C00561g,571,424,468,410,145,445,566,340
CAGL0C00583g,1261,947,860,815,498,767,975,657
CAGL0C00605g,613,494,597,468,215,421,539,385
CAGL0C00627g,410,299,451,457,214,332,407,260
CAGL0C00649g,5020,3178,4218,4021,2464,2476,4699,2666
CAGL0C00671g,1233,1010,1457,1642,492,480,1345,836
CAGL0C00693g,1592,1323,1476,1485,686,738,1520,1047
CAGL0C00715g,1333,1083,998,556,362,931,925,765
CAGL0C00737g,4056,2671,2635,1576,1186,2256,2583,1825
CAGL0C00759g,2429,1800,1883,1245,727,1469,1805,1435
CAGL0C00781g,8,1,5,6,1,2,4,0
CAGL0C00847g,611,481,409,472,209,205,494,333
CAGL0C00946g,37,16,21,38,17,8,47,26
